sno,sna,tot,sarea,lat,lng,coordinate
1,捷運市政府站(3號出口),180,信義區,25.0408578889,121.567904444,"25.0408578889,121.567904444"
2,捷運國父紀念館站(2號出口),32,大安區,25.041254,121.55742,"25.041254,121.55742"
3,台北市政府,40,信義區,25.0377972222,121.565169444,"25.0377972222,121.565169444"
4,市民廣場,60,信義區,25.0360361111,121.562325,"25.0360361111,121.562325"
5,興雅國中,60,信義區,25.0365638889,121.5686639,"25.0365638889,121.5686639"
6,臺北南山廣場,80,信義區,25.034047,121.565973,"25.034047,121.565973"
7,信義廣場(台北101),80,信義區,25.0330388889,121.565619444,"25.0330388889,121.565619444"
8,世貿三館,60,信義區,25.0352138889,121.563688889,"25.0352138889,121.563688889"
9,松德站,40,信義區,25.031785, 121.57448,"25.031785, 121.57448"
10,台北市災害應變中心,48,信義區,25.0286611111,121.566116667,"25.0286611111,121.566116667"
11,三張犁,36,信義區,25.034937,121.55762,"25.034937,121.55762"
12,臺北醫學大學,48,信義區,25.026679,121.561747,"25.026679,121.561747"
13,福德公園,50,信義區,25.03809,121.58367,"25.03809,121.58367"
14,榮星花園,32,中山區,25.06424,121.54037,"25.06424,121.54037"
16,松山家商,30,信義區,25.036084,121.579135,"25.036084,121.579135"
17,民生光復路口,34,松山區,25.05862,121.55514,"25.05862,121.55514"
18,臺北市藝文推廣處,40,松山區,25.049408,121.55261,"25.049408,121.55261"
19,象山公園,30,信義區,25.02863,121.56981,"25.02863,121.56981"
21,民生敦化路口,44,松山區,25.057985,121.548982,"25.057985,121.548982"
22,松山車站,44,信義區,25.048824,121.57845,"25.048824,121.57845"
23,東新國小,22,南港區,25.055074,121.602798,"25.055074,121.602798"
24,信義建國路口,36,大安區,25.03293,121.53747,"25.03293,121.53747"
25,永吉松信路口,24,信義區,25.04543,121.57205,"25.04543,121.57205"
26,捷運昆陽站(1號出口),42,南港區,25.050142,121.592375,"25.050142,121.592375"
27,捷運南港展覽館站(5號出口),38,南港區,25.05469,121.61669,"25.05469,121.61669"
28,五常公園,32,信義區,25.04814,121.57467,"25.04814,121.57467"
29,金山愛國路口,34,大安區,25.03164,121.52655,"25.03164,121.52655"
30,基隆長興路口,74,大安區,25.017054,121.544352,"25.017054,121.544352"
31,辛亥新生路口,30,大安區,25.022413,121.53456,"25.022413,121.53456"
32,捷運六張犁站,38,大安區,25.023884,121.553161,"25.023884,121.553161"
33,中崙高中,46,松山區,25.04878,121.56087,"25.04878,121.56087"
34,捷運行天宮站(1號出口),20,中山區,25.058369,121.532934,"25.058369,121.532934"
35,捷運行天宮站(3號出口),20,中山區,25.059978,121.533302,"25.059978,121.533302"
36,臺大資訊大樓,72,大安區,25.02101,121.54153,"25.02101,121.54153"
37,捷運東門站(4號出口),46,大安區,25.0337,121.528988,"25.0337,121.528988"
38,臺灣師範大學(圖書館),32,大安區,25.026603,121.529440,"25.026603,121.529440"
39,南港世貿公園,26,南港區,25.058,121.61422,"25.058,121.61422"
40,玉成公園,34,南港區,25.04287,121.58640,"25.04287,121.58640"
41,中研公園,30,南港區,25.047425,121.613706,"25.047425,121.613706"
42,捷運後山埤站(1號出口),38,信義區,25.04431,121.58174,"25.04431,121.58174"
43,凌雲市場,30,南港區,25.035639,121.614154,"25.035639,121.614154"
44,捷運南港軟體園區站(2號出口),36,南港區,25.05973,121.616187,"25.05973,121.616187"
45,捷運公館站(2號出口),30,大安區,25.01476  ,121.534538 ,"25.01476  ,121.534538 "
46,南港國小,38,南港區,25.056504,121.611389,"25.056504,121.611389"
47,捷運忠孝新生站(4號出口),32,大安區,25.042275,121.533939,"25.042275,121.533939"
48,南港車站(忠孝東路),38,南港區,25.05247,121.608202,"25.05247,121.608202"
49,龍門廣場,52,大安區,25.040901,121.548252  ,"25.040901,121.548252  "
50,民權運動公園,52,松山區,25.062002,121.560186,"25.062002,121.560186"
51,建國農安街口,28,中山區,25.065031,121.536775  ,"25.065031,121.536775  "
52,建國長春路口,16,中山區,25.054761,121.536925,"25.054761,121.536925"
53,八德市場,26,中山區,25.044781,121.536609,"25.044781,121.536609"
54,臺北市立圖書館(總館),30,大安區,25.028798,121.538073,"25.028798,121.538073"
55,臺北田徑場,46,松山區,25.049505,121.549408,"25.049505,121.549408"
56,仁愛林森路口,42,中正區,25.038954,121.522334,"25.038954,121.522334"
57,新生和平路口,36,大安區,25.026217,121.53519,"25.026217,121.53519"
58,捷運善導寺站(1號出口),28,中正區,25.045267,121.522200 ,"25.045267,121.522200 "
59,林森公園,32,中山區,25.052227,121.525805,"25.052227,121.525805"
60,中山行政中心,30,中山區,25.064317,121.533487 ,"25.064317,121.533487 "
61,台灣科技大學,86,大安區,25.0131,121.539723 ,"25.0131,121.539723 "
62,南昌公園,34,中正區,25.026827,121.520258,"25.026827,121.520258"
63,仁愛醫院,24,大安區,25.037569,121.545632,"25.037569,121.545632"
64,國家圖書館,34,中正區,25.037773,121.517029,"25.037773,121.517029"
65,青年公園3號出口,38,萬華區,25.022725,121.502708 ,"25.022725,121.502708 "
66,師範大學公館校區,42,文山區,25.007528,121.537188 ,"25.007528,121.537188 "
67,捷運臺大醫院(4號出口),40,中正區,25.042973,121.516428,"25.042973,121.516428"
68,國興青年路口,36,萬華區,25.025865,121.506536,"25.025865,121.506536"
69,興豐公園,28,文山區,24.999837,121.547778,"24.999837,121.547778"
70,捷運台北101/世貿站,52,信義區,25.032752,121.561645,"25.032752,121.561645"
71,捷運信義安和站(4號出口),20,大安區,25.032985,121.554204,"25.032985,121.554204"
72,新生長安路口,30,中山區,25.048611,121.529346,"25.048611,121.529346"
73,酒泉延平路口,32,大同區,25.072228,121.510195,"25.072228,121.510195"
74,信義連雲街口,22,中正區,25.033817,121.530547,"25.033817,121.530547"
75,基隆光復路口,20,信義區,25.0300508,121.557635,"25.0300508,121.557635"
76,新生長春路口,20,中山區,25.056387,121.527522,"25.056387,121.527522"
77,民生活動中心,32,松山區,25.059147,121.56297,"25.059147,121.56297"
78,捷運圓山站(2號出口),52,大同區,25.071824,121.519287,"25.071824,121.519287"
79,捷運民權西路站(3號出口),50,大同區,25.061285,121.520205,"25.061285,121.520205"
80,華江高中,44,萬華區,25.02751,121.495869,"25.02751,121.495869"
81,捷運台電大樓站(2號出口),40,大安區,25.020547,121.528552,"25.020547,121.528552"
82,捷運西門站(3號出口),48,中正區,25.041778,121.508693 ,"25.041778,121.508693 "
83,捷運大安森林公園站,52,大安區,25.033344,121.534236,"25.033344,121.534236"
84,復華花園新城,28,萬華區,25.029705,121.502899,"25.029705,121.502899"
85,信義敦化路口,34,大安區,25.033362,121.54911,"25.033362,121.54911"
86,民權復興路口,26,松山區,25.062344,121.545138,"25.062344,121.545138"
87,捷運大安站,48,大安區,25.033078,121.543057,"25.033078,121.543057"
88,捷運象山站,38,信義區,25.032922, 121.57087,"25.032922, 121.57087"
89,和平重慶路口,44,中正區,25.027323,121.516385,"25.027323,121.516385"
90,老松國小,44,萬華區,25.037783,121.501708,"25.037783,121.501708"
91,市立美術館,36,中山區,25.070629,121.523268,"25.070629,121.523268"
92,開封西寧路口,42,萬華區,25.046618,121.507169,"25.046618,121.507169"
93,吳興公車總站,36,信義區,25.023877,121.569836,"25.023877,121.569836"
94,捷運景美站,52,文山區,24.993254,121.541059,"24.993254,121.541059"
95,東園國小,24,萬華區,25.023393,121.497679,"25.023393,121.497679"
96,三民公園,18,松山區,25.061567,121.566558,"25.061567,121.566558"
97,捷運劍潭站(2號出口),40,士林區,25.082825,121.524721,"25.082825,121.524721"
98,羅斯福景隆街口,28,文山區,24.999378,121.540197,"24.999378,121.540197"
99,捷運雙連站(2號出口),22,大同區,25.058210,121.520590,"25.058210,121.520590"
100,金山市民路口,40,中正區,25.045753,121.530697,"25.045753,121.530697"
101,華山文創園區,50,中正區,25.043668,121.528487,"25.043668,121.528487"
102,臺北市客家文化主題公園,32,中正區,25.02043,121.525322,"25.02043,121.525322"
103,萬華車站,54,萬華區,25.033639,121.503028,"25.033639,121.503028"
104,台北花木批發市場,32,文山區,25.004023,121.54074,"25.004023,121.54074"
105,峨嵋停車場,42,萬華區,25.044412,121.505409,"25.044412,121.505409"
106,西園艋舺路口,32,萬華區,25.032932,121.497674,"25.032932,121.497674"
107,捷運小南門站(1號出口),54,中正區,25.036402,121.509422,"25.036402,121.509422"
108,臺北孔廟,32,大同區,25.073306,121.515843,"25.073306,121.515843"
109,林安泰古厝,24,中山區,25.071606,121.530805,"25.071606,121.530805"
110,文湖國小,28,內湖區,25.086376,121.560888,"25.086376,121.560888"
111,捷運忠孝復興站(2號出口),54,大安區,25.040184,121.543497,"25.040184,121.543497"
112,捷運新北投站,36,北投區,25.137456,121.503124,"25.137456,121.503124"
113,仁愛逸仙路口,26,信義區,25.037724,121.561178,"25.037724,121.561178"
114,蘭雅公園,30,士林區,25.109908,121.530386,"25.109908,121.530386"
115,臺北轉運站,44,中正區,25.048222,121.520526,"25.048222,121.520526"
116,福林公園,34,士林區,25.096122,121.530215,"25.096122,121.530215"
117,捷運北投站,58,北投區,25.132581,121.498618,"25.132581,121.498618"
118,大業大同街口,36,北投區,25.136929,121.499152,"25.136929,121.499152"
119,捷運劍南路站(2號出口),68,中山區,25.08418,121.555116,"25.08418,121.555116"
120,捷運龍山寺站(1號出口),46,萬華區,25.035479,121.50026,"25.035479,121.50026"
121,龍江南京路口,44,中山區,25.05298,121.540568,"25.05298,121.540568"
122,捷運港墘站(2號出口),32,內湖區,25.079666,121.57584,"25.079666,121.57584"
123,天母運動公園,44,士林區,25.116325,121.534136,"25.116325,121.534136"
124,振華公園,36,北投區,25.115863,121.518163,"25.115863,121.518163"
125,華西公園,30,萬華區,25.038609,121.498495,"25.038609,121.498495"
126,敦化基隆路口,30,大安區,25.022073,121.548336,"25.022073,121.548336"
127,東湖國中,38,內湖區,25.073277,121.619521,"25.073277,121.619521"
128,成功國宅,24,大安區,25.026808,121.546726,"25.026808,121.546726"
129,捷運文德站(2號出口),34,內湖區,25.078424,121.58456,"25.078424,121.58456"
130,羅斯福寧波東街口,26,中正區,25.031445,121.519411,"25.031445,121.519411"
131,洲子二號公園,52,內湖區,25.079322,121.568688,"25.079322,121.568688"
132,羅斯福新生南路口,88,大安區,25.01603085,121.5331757,"25.01603085,121.5331757"
133,蘭興公園,40,士林區,25.111839,121.525888,"25.111839,121.525888"
134,捷運芝山站(2號出口),64,士林區,25.10336,121.522629,"25.10336,121.522629"
135,捷運石牌站(2號出口),42,北投區,25.114513,121.515677,"25.114513,121.515677"
136,國立臺北護理健康大學,30,北投區,25.117457,121.51668,"25.117457,121.51668"
137,國防大學,46,北投區,25.137976,121.493066,"25.137976,121.493066"
138,捷運永春站(2號出口),20,信義區,25.040558,121.575372,"25.040558,121.575372"
139,永樂市場,38,大同區,25.054501,121.510549,"25.054501,121.510549"
140,捷運大橋頭站(2號出口),46,大同區,25.063404,121.512909,"25.063404,121.512909"
141,文山行政中心,24,文山區,24.989902,121.569984,"24.989902,121.569984"
142,捷運木柵站,32,文山區,24.997996,121.57444,"24.997996,121.57444"
143,捷運動物園站(2號出口),72,文山區,24.997659,121.578752,"24.997659,121.578752"
144,國立政治大學,58,文山區,24.988363,121.576536,"24.988363,121.576536"
145,樹德公園,40,大同區,25.066688,121.516149,"25.066688,121.516149"
146,捷運士林站(2號出口),38,士林區,25.092546,121.526556,"25.092546,121.526556"
147,士林運動中心,32,士林區,25.089175,121.521814,"25.089175,121.521814"
148,捷運明德站,40,北投區,25.110331,121.518316,"25.110331,121.518316"
149,北投運動中心,62,北投區,25.116665,121.509621,"25.116665,121.509621"
150,松德公園,20,信義區,25.036568,121.57343,"25.036568,121.57343"
151,考試院,24,文山區,24.987507,121.549827,"24.987507,121.549827"
152,百齡國小,40,士林區,25.08521,121.519175,"25.08521,121.519175"
153,蔣渭水紀念公園,32,大同區,25.059885,121.516299,"25.059885,121.516299"
154,中正基河路口,18,士林區,25.093396,121.519867,"25.093396,121.519867"
155,瑞光港墘路口,18,內湖區,25.076193,121.57505,"25.076193,121.57505"
156,東湖國小,28,內湖區,25.068530,121.61538,"25.068530,121.61538"
157,麗山國小,42,內湖區,25.082703,121.571467,"25.082703,121.571467"
158,捷運東湖站,48,內湖區,25.067026,121.61355,"25.067026,121.61355"
159,捷運西湖站(1號出口),36,內湖區,25.082866,121.566695,"25.082866,121.566695"
161,大豐公園,32,北投區,25.131143,121.503768,"25.131143,121.503768"
162,捷運中山國小站(4號出口),70,中山區,25.062924,121.52772,"25.062924,121.52772"
163,捷運麟光站,72,大安區,25.018097,121.559279,"25.018097,121.559279"
164,捷運奇岩站,40,北投區,25.126286,121.500801,"25.126286,121.500801"
165,捷運唭哩岸站(2號出口),48,北投區,25.120788,121.505693,"25.120788,121.505693"
166,臺北市立景美女中,20,文山區,24.980602,121.556177,"24.980602,121.556177"
167,臺北市立天文館,30,士林區,25.095714,121.518046,"25.095714,121.518046"
168,河堤國小,44,中正區,25.02288,121.522855,"25.02288,121.522855"
169,植物園,44,中正區,25.030015,121.509813,"25.030015,121.509813"
170,新東公園,32,松山區,25.059245,121.568883,"25.059245,121.568883"
171,文山運動中心,30,文山區,24.996842,121.559651,"24.996842,121.559651"
172,捷運南京三民站(1號出口),24,松山區,25.051562,121.562891 ,"25.051562,121.562891 "
173,捷運松江南京站(7號出口),38,中山區,25.052181 ,121.533211 ,"25.052181 ,121.533211 "
174,捷運小巨蛋站(5號出口),42,松山區,25.051702 ,121.553057 ,"25.051702 ,121.553057 "
175,捷運南京復興站(5號出口),34,松山區,25.051618 ,121.544847 ,"25.051618 ,121.544847 "
176,興安華城,58,中山區,25.055997 ,121.542318 ,"25.055997 ,121.542318 "
177,葫蘆國小,40,士林區,25.082538 ,121.507495 ,"25.082538 ,121.507495 "
178,延平國宅,32,士林區,25.078908 ,121.510306 ,"25.078908 ,121.510306 "
179,南港公園,32,南港區,25.041355,121.59073,"25.041355,121.59073"
180,福華商場,20,內湖區,25.068770,121.592654,"25.068770,121.592654"
181,建國和平路口,32,大安區,25.025850 ,121.537383 ,"25.025850 ,121.537383 "
182,捷運古亭站(2號出口),42,中正區,25.025300 ,121.523537 ,"25.025300 ,121.523537 "
183,圓環站,20,大同區,25.053790,121.514179,"25.053790,121.514179"
184,劍潭社區,42,中山區,25.084759 ,121.537892 ,"25.084759 ,121.537892 "
185,瑠公公園,30,大安區,25.042342 ,121.546050 ,"25.042342 ,121.546050 "
186,臺北市立大學,82,中正區,25.035414 ,121.514218 ,"25.035414 ,121.514218 "
187,仁愛延吉街口,24,大安區,25.037465 ,121.555769 ,"25.037465 ,121.555769 "
188,社子國小,56,士林區,25.090293 ,121.501890 ,"25.090293 ,121.501890 "
189,金瑞公園(金龍路),28,內湖區,25.087987,121.58781,"25.087987,121.58781"
190,捷運大直站(3號出口),30,中山區,25.079278 ,121.546683 ,"25.079278 ,121.546683 "
191,捷運大湖公園站(2號出口),32,內湖區,25.083873,121.60206,"25.083873,121.60206"
192,捷運葫洲站(1號出口),30,內湖區,25.072485 ,121.607955 ,"25.072485 ,121.607955 "
193,舊莊區民活動中心,24,南港區,25.041277 ,121.619350 ,"25.041277 ,121.619350 "
194,市民林森路口,30,中山區,25.047958 ,121.524388 ,"25.047958 ,121.524388 "
195,信義杭州路口(中華電信總公司),42,中正區,25.035851 ,121.523987 ,"25.035851 ,121.523987 "
196,新湖國小,20,內湖區,25.068744 ,121.589233 ,"25.068744 ,121.589233 "
197,饒河夜市(八德路側),34,松山區,25.049845,121.571885,"25.049845,121.571885"
201,東陽公園,28,南港區,25.057164,121.597924,"25.057164,121.597924"
202,捷運關渡站,60,北投區,25.124646,121.467336,"25.124646,121.467336"
203,古亭國中,40,萬華區,25.024487,121.510570,"25.024487,121.510570"
204,臺北市立大學(天母校區),32,士林區,25.113625,121.537420,"25.113625,121.537420"
