sno,sna,tot,sarea,lat,lng,coordinate
205,木柵光輝路口,24,文山區,24.988241,121.555610,"24.988241,121.555610"
206,捷運辛亥站,26,文山區,25.005386,121.55716,"25.005386,121.55716"
207,福安國中,30,士林區,25.103242,121.487477,"25.103242,121.487477"
208,龍山國小,36,萬華區,25.035555,121.495342,"25.035555,121.495342"
209,捷運復興崗站,42,北投區,25.137837,121.486071,"25.137837,121.486071"
210,樂群二敬業四路口,42,中山區,25.079766,121.558135,"25.079766,121.558135"
211,星雲金湖街口,26,內湖區,25.080915,121.597339,"25.080915,121.597339"
212,北安大直街口,50,中山區,25.084223,121.549452,"25.084223,121.549452"
213,蘭雅國小,18,士林區,25.107782,121.523107,"25.107782,121.523107"
214,基河一期國宅,30,內湖區,25.055935,121.578645,"25.055935,121.578645"
215,捷運北門站(3號出口),42,大同區,25.049930,121.510367,"25.049930,121.510367"
216,培英公園,42,中山區,25.082553,121.544601,"25.082553,121.544601"
217,臺北花市,40,內湖區,25.062645,121.574267,"25.062645,121.574267"
218,松山高中,30,信義區,25.043299,121.564108,"25.043299,121.564108"
219,大理高中,38,萬華區,25.031147,121.490740,"25.031147,121.490740"
220,大稻埕公園,24,大同區,25.059162,121.510512,"25.059162,121.510512"
221,泰和公園,20,信義區,25.019276,121.57107,"25.019276,121.57107"
222,撫順公園,20,中山區,25.064108,121.522065,"25.064108,121.522065"
223,清江國小,40,北投區,25.127400,121.507267,"25.127400,121.507267"
224,社正公園,40,士林區,25.088243,121.510535,"25.088243,121.510535"
225,臥龍樂業街口,40,大安區,25.018600,121.554839,"25.018600,121.554839"
226,向陽南港路口,24,南港區,25.054365,121.594228,"25.054365,121.594228"
227,麗山高中,40,內湖區,25.084244,121.576680,"25.084244,121.576680"
228,捷運萬芳社區站,32,文山區,24.998811,121.56789,"24.998811,121.56789"
229,市民太原路口,34,大同區,25.049394,121.514611,"25.049394,121.514611"
230,湖光國宅,22,內湖區,25.075366,121.580811,"25.075366,121.580811"
231,內政部營建署,30,松山區,25.047805,121.545022,"25.047805,121.545022"
232,中山天母路口,34,士林區,25.118843,121.529738,"25.118843,121.529738"
233,捷運忠義站,44,北投區,25.131411,121.474155,"25.131411,121.474155"
234,永欣綠地,28,北投區,25.124162,121.526071,"25.124162,121.526071"
235,市民東興路口,30,松山區,25.048460,121.565928,"25.048460,121.565928"
236,關渡自然公園,30,北投區,25.119292,121.469138,"25.119292,121.469138"
237,文山第二行政中心,38,文山區,25.001149,121.551418,"25.001149,121.551418"
238,瑞湖陽光街口,20,內湖區,25.073119,121.575965,"25.073119,121.575965"
239,新明路262巷口,18,內湖區,25.056641,121.583403,"25.056641,121.583403"
240,南京建國路口,30,中山區,25.052141,121.536802,"25.052141,121.536802"
241,林口公園,38,信義區,25.038943,121.579146,"25.038943,121.579146"
242,關渡宮,40,北投區,25.117472,121.463161,"25.117472,121.463161"
243,社子公園,16,士林區,25.090202,121.506219,"25.090202,121.506219"
244,復興市民路口,36,中山區,25.045908,121.543736,"25.045908,121.543736"
245,捷運中山國中站,44,中山區,25.060632,121.544028,"25.060632,121.544028"
246,國立故宮博物院,40,士林區,25.098743,121.548086,"25.098743,121.548086"
247,木柵公園,24,文山區,24.987144,121.560627,"24.987144,121.560627"
248,喬治工商,22,大安區,25.027123,121.555566,"25.027123,121.555566"
249,中華桂林路口,20,萬華區,25.037706,121.506624,"25.037706,121.506624"
250,忠孝東路三段217巷口,38,大安區,25.041840,121.539873,"25.041840,121.539873"
251,華齡公園,26,士林區,25.083023,121.520692,"25.083023,121.520692"
252,大安運動中心,34,大安區,25.020544,121.545608,"25.020544,121.545608"
253,芝山抽水站,34,士林區,25.101423,121.527990,"25.101423,121.527990"
254,立功立德路口,40,北投區,25.125377,121.471482,"25.125377,121.471482"
255,光復南路22巷口,20,松山區,25.046914,121.557674,"25.046914,121.557674"
256,中山中正路口,34,士林區,25.096507,121.527526,"25.096507,121.527526"
257,錦德公園,34,萬華區,25.023316,121.492637,"25.023316,121.492637"
258,聯合醫院中興院區,28,大同區,25.052096,121.507979,"25.052096,121.507979"
259,南京遼寧街口,26,中山區,25.051761,121.542168,"25.051761,121.542168"
260,民權瑞光路口,36,內湖區,25.068616,121.583991,"25.068616,121.583991"
261,健康新城,30,松山區,25.054095,121.560928,"25.054095,121.560928"
262,永安藝文館-表演36房,16,文山區,24.984144,121.569064,"24.984144,121.569064"
263,至善臨溪路口,22,士林區,25.097103,121.542153,"25.097103,121.542153"
264,秀山區民活動中心,28,北投區,25.145936,121.493009,"25.145936,121.493009"
265,中央北路四段30巷口,24,北投區,25.135394,121.478000,"25.135394,121.478000"
266,洲子一號公園,34,內湖區,25.080258,121.564806,"25.080258,121.564806"
267,八德中坡路口,38,南港區,25.050620,121.580194,"25.050620,121.580194"
268,南港高工,30,南港區,25.056655,121.607055,"25.056655,121.607055"
269,三軍總醫院,30,內湖區,25.070723,121.590304,"25.070723,121.590304"
270,雨農國小,34,士林區,25.105429,121.529217,"25.105429,121.529217"
271,伊通長安路口,16,中山區,25.048334,121.534693,"25.048334,121.534693"
272,忠順區民活動中心,32,文山區,24.984707,121.563125,"24.984707,121.563125"
273,芝山國小,38,士林區,25.110437,121.535954,"25.110437,121.535954"
274,扶輪親恩公園,34,內湖區,25.066997,121.579833,"25.066997,121.579833"
275,西本願寺廣場,58,萬華區,25.040988,121.507688,"25.040988,121.507688"
276,三興公園,28,信義區,25.028679,121.559320,"25.028679,121.559320"
277,中山堂,32,中正區,25.044091,121.510250,"25.044091,121.510250"
278,明美公園,22,內湖區,25.062557,121.586065,"25.062557,121.586065"
279,南港車站(興華路),48,南港區,25.053432,121.606331,"25.053432,121.606331"
280,士林新天地,14,士林區,25.089034,121.517320,"25.089034,121.517320"
281,松江公園,20,中山區,25.050245,121.532725,"25.050245,121.532725"
282,富台公園,18,信義區,25.041935,121.571999,"25.041935,121.571999"
283,中央北路四段540巷口,22,北投區,25.127959,121.467700,"25.127959,121.467700"
284,華聲公園,30,士林區,25.096166,121.522096,"25.096166,121.522096"
285,螢橋國小,40,中正區,25.025966,121.513770,"25.025966,121.513770"
286,德明財經科技大學,26,內湖區,25.086372,121.565713,"25.086372,121.565713"
287,第二果菜批發市場,24,中山區,25.066424,121.537354,"25.066424,121.537354"
288,濟南紹興路口,54,中正區,25.041928,121.524591,"25.041928,121.524591"
289,牯嶺公園,44,中正區,25.023377,121.518835,"25.023377,121.518835"
290,新生公園,16,中山區,25.068387,121.530188,"25.068387,121.530188"
291,捷運松山站(3號出口),50,松山區,25.049616,121.577459,"25.049616,121.577459"
292,合心廣場,40,南港區,25.046361,121.582848,"25.046361,121.582848"
293,自來水園區,40,中正區,25.013284,121.530037,"25.013284,121.530037"
294,朱崙商場,24,中山區,25.047617,121.540431,"25.047617,121.540431"
295,敦親公園,26,大安區,25.023473,121.541083,"25.023473,121.541083"
296,萬和二號公園,32,文山區,25.001545,121.536446,"25.001545,121.536446"
297,長沙公園,16,萬華區,25.041702,121.499922,"25.041702,121.499922"
298,太原五原路口,32,大同區,25.056458,121.516976,"25.056458,121.516976"
299,萬華國中,32,萬華區,25.029264,121.499358,"25.029264,121.499358"
300,信義基隆路口,16,信義區,25.033209,121.558731,"25.033209,121.558731"
301,林森長春路口,18,中山區,25.055062,121.525383,"25.055062,121.525383"
302,敦北公園,34,松山區,25.060746,121.550711,"25.060746,121.550711"
303,安泰街83巷,22,內湖區,25.076691,121.617085,"25.076691,121.617085"
304,金華公園,24,大安區,25.029902,121.531235,"25.029902,121.531235"
305,碧山公園,34,內湖區,25.087413,121.592253,"25.087413,121.592253"
306,捷運古亭站(6號出口),44,大安區,25.027781,121.521980,"25.027781,121.521980"
307,仁愛安和路口,22,大安區,25.037570,121.552076,"25.037570,121.552076"
308,西松高中,30,松山區,25.055672,121.567127,"25.055672,121.567127"
309,三軍總醫院(松山分院),38,松山區,25.054470,121.556098,"25.054470,121.556098"
310,國立臺北大學(臺北校區),24,中山區,25.057923,121.542732,"25.057923,121.542732"
311,捷運忠孝新生站(2號出口),26,中正區,25.042392,121.532229,"25.042392,121.532229"
312,捷運信義安和站(1號出口),18,大安區,25.033323,121.552787,"25.033323,121.552787"
313,光華商場,38,中正區,25.045150,121.532738,"25.045150,121.532738"
314,敦化長春路口,34,松山區,25.053614,121.548720,"25.053614,121.548720"
315,捷運萬隆站(1號出口),32,文山區,25.001447,121.539037,"25.001447,121.539037"
316,民有一號公園,30,松山區,25.060911,121.547630,"25.060911,121.547630"
317,雙園國中,30,萬華區,25.026823,121.491675,"25.026823,121.491675"
318,成功金龍路口,14,內湖區,25.084135,121.594840,"25.084135,121.594840"
319,民族林森路口,38,中山區,25.068507,121.525322,"25.068507,121.525322"
320,捷運南京三民站(3號出口),28,松山區,25.051287,121.564262,"25.051287,121.564262"
321,莒光大埔街口,28,中正區,25.031334,121.505085,"25.031334,121.505085"
322,永盛公園(民生東路一段23巷),30,中山區,25.058835,121.525040,"25.058835,121.525040"
323,新興公園,26,中山區,25.061568,121.524392,"25.061568,121.524392"
324,市立圖書館葫蘆堵分館,14,士林區,25.082210,121.510800,"25.082210,121.510800"
325,南京東路六段368巷,36,內湖區,25.058270,121.587070,"25.058270,121.587070"
326,基隆路一段101巷口,18,信義區,25.045250,121.567090,"25.045250,121.567090"
327,重慶南海路口,24,中正區,25.031580,121.514640,"25.031580,121.514640"
328,一江公園,20,中山區,25.053160,121.531460,"25.053160,121.531460"
329,樂群二明水路口,34,中山區,25.079830,121.552360,"25.079830,121.552360"
330,迪化休閒運動公園,28,大同區,25.074910,121.511500,"25.074910,121.511500"
331,民族玉門街口,34,中山區,25.068590,121.519740,"25.068590,121.519740"
332,捷運中山站(2號出口),20,中山區,25.052250,121.521930,"25.052250,121.521930"
333,復盛公園,22,松山區,25.047428,121.561182,"25.047428,121.561182"
334,敦化南路二段103巷口,12,大安區,25.028973,121.549024,"25.028973,121.549024"
335,景文中學,32,文山區,24.986301,121.567855,"24.986301,121.567855"
336,承德路三段8巷口,12,大同區,25.063820,121.518150,"25.063820,121.518150"
337,彩虹橋,30,內湖區,25.053010,121.575920,"25.053010,121.575920"
338,成德國中,26,南港區,25.045730,121.587940,"25.045730,121.587940"
339,重慶國中,34,大同區,25.075810,121.518160,"25.075810,121.518160"
340,南京光復路口,18,松山區,25.051430,121.557160,"25.051430,121.557160"
341,捷運芝山站(1號出口),38,士林區,25.100940,121.522430,"25.100940,121.522430"
342,文林建民路口,30,北投區,25.107790,121.514680,"25.107790,121.514680"
343,忠孝東路六段185巷口,30,南港區,25.049040,121.587550,"25.049040,121.587550"
344,捷運忠孝復興站(5號出口),42,大安區,25.042640,121.544010,"25.042640,121.544010"
345,中正運動中心,22,中正區,25.038060,121.519430,"25.038060,121.519430"
346,陽明高中,36,士林區,25.091570,121.516690,"25.091570,121.516690"
347,博愛寶慶路口,26,中正區,25.041340,121.511350,"25.041340,121.511350"
348,民生立體停車場,14,松山區,25.058522,121.55942,"25.058522,121.55942"
349,重慶酒泉街口,28,大同區,25.071830,121.513640,"25.071830,121.513640"
350,復興南路二段128巷口,24,大安區,25.029040,121.543360,"25.029040,121.543360"
351,中山青島路口,22,中正區,25.044690,121.519540,"25.044690,121.519540"
352,民權迪化街口,22,大同區,25.063180,121.509440,"25.063180,121.509440"
353,紀州庵,30,中正區,25.020880,121.520490,"25.020880,121.520490"
354,建國濟南路口,28,大安區,25.040033,121.538084,"25.040033,121.538084"
355,福山公園,34,南港區,25.044780,121.617590,"25.044780,121.617590"
356,臺北市網球中心,16,內湖區,25.067400,121.597490,"25.067400,121.597490"
357,松友公園,20,信義區,25.034230,121.576360,"25.034230,121.576360"
358,新明成功路口,30,內湖區,25.060580,121.591100,"25.060580,121.591100"
359,健安新城,24,松山區,25.056010,121.563580,"25.056010,121.563580"
360,民權建國路口,34,中山區,25.062520,121.537540,"25.062520,121.537540"
361,振興醫院,28,北投區,25.117700,121.522200,"25.117700,121.522200"
362,和平金山路口,30,大安區,25.026720,121.525330,"25.026720,121.525330"
363,復興南路一段340巷口,32,大安區,25.036170,121.543500,"25.036170,121.543500"
364,嘉興公園,38,大安區,25.021090,121.552190,"25.021090,121.552190"
365,陽明大學,38,北投區,25.119120,121.512230,"25.119120,121.512230"
366,碧湖公園,30,內湖區,25.079880,121.582870,"25.079880,121.582870"
367,豐年公園,30,北投區,25.135970,121.497019,"25.135970,121.497019"
368,臺灣戲曲中心,38,士林區,25.102080,121.519790,"25.102080,121.519790"
369,世新大學,20,文山區,24.988620,121.543610,"24.988620,121.543610"
370,新和國小,32,萬華區,25.026560,121.502420,"25.026560,121.502420"
371,南門國中,30,中正區,25.035320,121.508340,"25.035320,121.508340"
372,重慶民族路口,16,大同區,25.068250,121.513590,"25.068250,121.513590"
373,中崙福成宮,18,松山區,25.045250,121.546635,"25.045250,121.546635"
374,麗湖國小,26,內湖區,25.073322,121.602225,"25.073322,121.602225"
375,銘傳大學,34,士林區,25.087714,121.526766,"25.087714,121.526766"
376,民生建國路口,18,中山區,25.057778,121.536915,"25.057778,121.536915"
377,南港路二段178巷口,30,南港區,25.053675,121.599693,"25.053675,121.599693"
378,陽光街321巷口,42,內湖區,25.073193,121.578691,"25.073193,121.578691"
379,春光公園,38,信義區,25.042619,121.580762,"25.042619,121.580762"
380,塔悠疏散門,30,松山區,25.064713,121.567899,"25.064713,121.567899"
381,民權東路六段15巷,22,內湖區,25.068530,121.578125,"25.068530,121.578125"
382,聯合醫院和平院區,30,中正區,25.035160,121.506390,"25.035160,121.506390"
383,一壽橋,22,文山區,24.978480,121.555450,"24.978480,121.555450"
384,松基公園,30,松山區,25.054910,121.544800,"25.054910,121.544800"
385,和興路26巷口,30,文山區,24.985600,121.545310,"24.985600,121.545310"
386,錦州吉林路口,30,中山區,25.060290,121.529810,"25.060290,121.529810"
387,吳興街260巷,22,信義區,25.026100,121.563160,"25.026100,121.563160"
388,景華街128巷口,18,文山區,24.995563,121.547092,"24.995563,121.547092"
389,福德國小,24,信義區,25.038324,121.586245,"25.038324,121.586245"
390,稻香重三路口,34,北投區,25.139937,121.489594,"25.139937,121.489594"
391,景仁公園,30,文山區,24.996600,121.540295,"24.996600,121.540295"
392,南京東興路口,30,松山區,25.051489,121.565347,"25.051489,121.565347"
393,內溝溪生態展示館,16,內湖區,25.087217,121.623062,"25.087217,121.623062"
394,松德虎林街口,22,信義區,25.038352,121.576248,"25.038352,121.576248"
395,安強公園,16,信義區,25.036844,121.575413,"25.036844,121.575413"
396,新東街51巷口,28,松山區,25.061501,121.563318,"25.061501,121.563318"
397,劍潭海外青年活動中心,36,士林區,25.079603,121.523700,"25.079603,121.523700"
398,聯合醫院陽明院區,30,士林區,25.104546,121.531949,"25.104546,121.531949"
399,和平龍泉街口,30,大安區,25.026404,121.529460,"25.026404,121.529460"
400,和平敦化路口,34,大安區,25.024440,121.549076,"25.024440,121.549076"
401,南京新生路口,24,中山區,25.051944,121.527661,"25.051944,121.527661"
402,下灣公園,18,內湖區,25.065159,121.595611,"25.065159,121.595611"
403,捷運內湖站(1號出口),28,內湖區,25.083868,121.593929,"25.083868,121.593929"
404,民族延平路口,20,大同區,25.068653,121.510569,"25.068653,121.510569"
405,捷運科技大樓站(台北教育大學),66,大安區,25.024685,121.544156,"25.024685,121.544156"
